z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_H2,y_H2,x_C2H4,y_C2H4,x_CH4,y_CH4,x_C2H6,y_C2H6,x_C3H8,y_C3H8
0.06625,4240000.0,799786.9661758386,0.0023835282785562703,9.567402538771625e-05,0.006278637843890161,0.029458620146360186,0.06680588078305143,0.07500976342614403,0.5733386981666989,0.61549416083871,0.24481437823259755,0.19670398926267035,0.10876240497376187,0.083333466326116
0.06875,4240000.0,799785.4923066199,0.0023870894927148045,9.923678514356512e-05,0.006319815453786026,0.02963133059605538,0.06681792797769848,0.07500464481614588,0.5733989701129684,0.6154251336402283,0.24474001387428498,0.19663654620631077,0.10872327258126208,0.08330234474126329
0.07125,4240000.0,799783.965459836,0.0023906522524706534,0.00010280111269457895,0.006361468200162121,0.02980583604993335,0.06682992369444565,0.0749993784045733,0.5734588387174548,0.6153549163150966,0.24466562679133438,0.19656877918593058,0.10868414259660315,0.08327109004446458
0.07375,4240000.0,799782.3856087484,0.002394216580021667,0.00010636703066576074,0.006403603388481215,0.029982161410750937,0.06684186747220786,0.07499396224733819,0.5735183000056445,0.6152834929972671,0.24459121501849612,0.19650068321855538,0.10864501411517019,0.08323970012609037
0.07625,4240000.0,799780.7527262366,0.002397782497992849,0.00010993456211852394,0.0064462284585866305,0.030160331993534226,0.06685375884029274,0.07498839436774649,0.5735773499219033,0.615210847555526,0.24451677656006435,0.19643225324059452,0.10860588621915294,0.08320817284259999
0.07875,4240000.0,799779.06678479,0.002401350029445612,0.00011350373056016362,0.006489350987500735,0.030340373533232674,0.06686559731820436,0.07498267275589446,0.5736359843278169,0.6151369635885934,0.24444230938922093,0.19636348410635943,0.10856675797725701,0.08317650601591789
0.08125,4240000.0,799777.3277565013,0.002404919197887252,0.00011707455995355921,0.006532978692287296,0.030522312192524756,0.06687738241544254,0.07497679536804945,0.5736941990004951,0.6150618244200982,0.24436781144736597,0.19629437058653693,0.10852762844440894,0.08314469743279015
0.08375,4240000.0,799775.535613058,0.0024084900272806475,0.00012064707472711142,0.006577119432979263,0.03070617456977857,0.06688911363129729,0.07497076012601724,0.5737519896308366,0.6149854130934341,0.24429328064343228,0.19622490736663725,0.10848849666145444,0.08311274484413277
0.08625,4240000.0,799773.6903257357,0.0024120625420541997,0.0001242212997849151,0.006621781215573562,0.03089198770717223,0.06690079045463865,0.07496456491649885,0.5738093518217531,0.6149077123665545,0.24421871485318478,0.19615508904540963,0.1084493616548499,0.08308064596436517
0.08875,4240000.0,799771.7918653897,0.0024156367671120033,0.00012779726051717882,0.00666697219509457,0.031079779098975895,0.06691241236370155,0.07495820759043582,0.5738662810863527,0.6148287047066299,0.2441441119185039,0.19608491013322857,0.10841022243634718,0.08304839847073288
0.09125,4240000.0,799769.8402024467,0.002419212727844267,0.00013137498281089958,0.006712700678727948,0.03126957669999833,0.06692397882586582,0.07495168596233719,0.5739227728460822,0.6147483722846073,0.2440694696466531,0.19601436505044842,0.10837107800267111,0.08301600000261156
0.09375,4240000.0,799767.8353068972,0.002422790450137988,0.00013495449306078757,0.006758975129026549,0.03146140893420399,0.0669354892974309,0.07494499780959947,0.5739788224288237,0.6146666969696695,0.24399478580952932,0.19594344812572653,0.1083319273351896,0.08298344816080414
0.09625,4240000.0,799765.7771482865,0.002426369960387876,0.0001385358181804656,0.006805804167190207,0.03165530470350014,0.06694694322338557,0.07493814087180728,0.5740344250669505,0.6145836603235711,0.24392005814289708,0.19587215359430568,0.10829276939957681,0.0829507405068175
