z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_N2,y_N2,x_O2,y_O2,x_CO2,y_CO2,x_H2O,y_H2O
0.1075,990846.5585884155,100000.0,0.0005830758262088342,4.011443209682875e-05,0.9326307763782923,0.7866003197912947,0.06736168766316529,0.21335876133019321,7.535958542463112e-06,4.091887851313323e-05,1.2420191925006396e-21,1.1423734284847067e-20
0.1125,990885.0280578958,100000.0,0.0005849332177019981,4.197524098633319e-05,0.9321100966387251,0.7857265097046934,0.06788222756823378,0.21423204501954957,7.675793041156534e-06,4.1445275757375526e-05,1.3094640162542291e-21,1.2007700439892187e-20
0.1175,990923.6209470325,100000.0,0.0005867940265915025,4.3839490932167475e-05,0.9315861576391843,0.7848500369661885,0.06840602349426608,0.21510798204701048,7.818866549641424e-06,4.198098680175848e-05,1.3833107872655764e-21,1.2644316097555244e-20
0.1225,990962.3374996202,100000.0,0.0005886582765373368,4.570720565188146e-05,0.9310589537047407,0.7839709115531963,0.0689330810393112,0.21598656225926272,7.965255948128276e-06,4.252618754057137e-05,1.4643687220431242e-21,1.333993783285262e-20
0.1275,991001.177961149,100000.0,0.0005905259912570508,4.757840891955029e-05,0.9305284793198205,0.7830891436145822,0.06946340564033555,0.21686777532836993,8.115039843870691e-06,4.308105704938871e-05,1.5535703469841306e-21,1.4101851095514898e-20
0.1325,991040.1425788078,100000.0,0.0005923971945247196,4.945312456473155e-05,0.9299947291296028,0.7822047434701969,0.06999700257179187,0.21775161075216926,8.268298605459938e-06,4.364577763506433e-05,1.6519930111435309e-21,1.493842608200477e-20
0.1375,991079.2316014875,100000.0,0.0005942719101699009,5.133137647140857e-05,0.9294576979413987,0.781317721610406,0.07053387694420378,0.2186380578547083,8.425114397658145e-06,4.4220534886295114e-05,1.760884563374527e-21,1.58593026996965e-20
0.1425,991118.4452797847,100000.0,0.0005961501620765779,5.3213188576925106e-05,0.9289173807260168,0.7804280886955749,0.07107403370276645,0.219527105786701,8.585571216774802e-06,4.4805517724750775e-05,1.881694069788589e-21,1.6875610534933115e-20
0.1475,991157.7838660049,100000.0,0.0005980319741820944,5.5098584870909685e-05,0.9283737726191097,0.7795358555555325,0.0716174776259637,0.22041874352601126,8.749754926591048e-06,4.540091845677217e-05,2.0161086447358967e-21,1.8000231024892274e-20
0.1525,991197.2476141655,100000.0,0.000599917370476079,5.698758939418937e-05,0.9278268689225034,0.7786410331890105,0.07216421332420177,0.22131295987816416,8.917753294836229e-06,4.600693282563959e-05,2.166097712791064e-21,1.9248110619035517e-20
0.1575,991236.8367799994,100000.0,0.0006018063749993587,5.8880226237693596e-05,0.9272766651055093,0.7777436327630529,0.07271424523846046,0.2222097434768845,9.089656030221114e-06,4.662376006441076e-05,2.333966322314024e-21,2.0636635671671517e-20
0.1625,991276.5516209573,100000.0,0.0006036990118428629,6.0776519541348e-05,0.9267231568062182,0.7768436656123905,0.07326757763896194,0.22310908278466166,9.26555482003214e-06,4.725160294932983e-05,2.522419507885658e-21,2.2186082223427375e-20
0.1675,991316.3923962113,100000.0,0.0006055953051465173,6.267649349295853e-05,0.9261663398327743,0.775941143238807,0.07382421462385749,0.22401096609334092,9.445543368290898e-06,4.789066785380729e-05,2.7346401680380773e-21,2.3920156819930628e-20
0.1725,991356.3593666573,100000.0,0.0006074952790981279,6.458017232708626e-05,0.925606210164633,0.7750360773104564,0.07438416011793274,0.22491538152474103,9.6297174344831e-06,4.854116480297089e-05,2.9743835099234e-21,2.5866648223766083e-20
0.1775,991396.4527949181,100000.0,0.0006093989579322556,6.648758032391084e-05,0.9250427639537954,0.7741284796611685,0.07494741787133175,0.2258223170313042,9.818174872861055e-06,4.9203307528789567e-05,3.2460918439340246e-21,2.805821448087102e-20
