z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_fast,y_fast,x_mid,y_mid,x_slow,y_slow
0.109,1000000.0,165914.0689378545,0.0010761440535351368,0.00011885914298760865,9.338385164732668e-07,4.667307807617757e-06,0.04802504146816216,0.1646993660102464,0.9519740246933214,0.8352959666819465
0.111,1000000.0,165901.58455539175,0.0010783965257794826,0.00012111566671095715,9.482093366173411e-07,4.729430628127354e-06,0.04834843982238119,0.16544038686495907,0.9516506119682823,0.8345548837044119
0.113,1000000.0,165888.86617777514,0.001080653049502831,0.00012337628225985527,9.629377277143625e-07,4.7929286135971945e-06,0.04867444441766162,0.1661853835162053,0.9513245926446106,0.833809823555181
0.115,1000000.0,165875.9133247742,0.0010829136650517292,0.00012564103033115405,9.780347186577414e-07,4.857840023043551e-06,0.04900307432943571,0.16693436969378883,0.9509959476358456,0.8330607724661887
0.117,1000000.0,165862.72551078073,0.001085178413123028,0.00012790995197405205,9.935117220248893e-07,4.924204326713922e-06,0.04933434870738973,0.16768735901679194,0.9506646577808884,0.8323077167788804
0.119,1000000.0,165849.30224476306,0.001087447334765926,0.00013018308859213121,1.0093805484599897e-06,4.992062247618062e-06,0.04966828677441508,0.16844436499058096,0.9503307038450364,0.8315506429471712
0.121,1000000.0,165835.64303022038,0.0010897204713840051,0.0001324604819453837,1.0256534216215774e-06,5.0614558045547176e-06,0.05000490782552788,0.1692054010037863,0.9499940665210505,0.8307895375404083
0.123,1000000.0,165821.74736513625,0.0010919978647372576,0.0001347421741522268,1.0423429937176963e-06,5.132428356689474e-06,0.05034423122675693,0.16997048032525947,0.9496547264302493,0.8300243872463844
0.125,1000000.0,165807.6147419321,0.0010942795569441007,0.00013702820769151273,1.059462361652335e-06,5.205024649740865e-06,0.05068627641399954,0.1707396161009979,0.9493126641236389,0.8292551788743525
0.127,1000000.0,165793.2446474202,0.0010965655904833867,0.00013931862540452042,1.0770250838078025e-06,5.279290863834702e-06,0.051031062891844746,0.17151282135105447,0.9489678600830715,0.8284818993580815
0.129,1000000.0,165778.63656275618,0.0010988560081963944,0.00014161347049694388,1.0950451974887146e-06,5.355274663087823e-06,0.05137861023236395,0.17229010896641156,0.9486202947224386,0.8277045357589257
0.131,1000000.0,165763.7899633915,0.0011011508532888178,0.00014391278654086353,1.1135372370542917e-06,5.43302524698581e-06,0.05172893807386791,0.173071491705838,0.9482699483888951,0.8269230752689148
0.133,1000000.0,165748.70431902516,0.0011034501693327375,0.0001462166174767077,1.132516252766778e-06,5.5125934036207975e-06,0.05208206611963039,0.17385698219271786,0.9479168013641168,0.8261375052138789
0.135,1000000.0,165733.3790935554,0.0011057540002685816,0.0001485250076152003,1.1519978303849012e-06,5.594031564858432e-06,0.05243801413657776,0.1746465929118583,0.947560833865592,0.8253478130565772
0.137,1000000.0,165717.81374503073,0.0011080623904070742,0.0001508380016392955,1.1719981115324803e-06,5.677393863505385e-06,0.05279680195394432,0.17544033620627209,0.9472020260479442,0.8245539863998644
0.139,1000000.0,165702.00772560076,0.0011103753844311694,0.00015315564460609765,1.1925338148735064e-06,5.762736192551605e-06,0.0531584494618928,0.1762382242739385,0.9468403580042923,0.8237560129898692
0.141,1000000.0,165685.96048146667,0.0011126930273979716,0.00015547798194876894,1.2136222581263017e-06,5.850116266564043e-06,0.05352297661009996,0.1770402691645395,0.946475809767642,0.8229538807191942
0.143,1000000.0,165669.6714528312,0.0011150153647406429,0.0001578050594784195,1.2352813809506654e-06,5.939593685311814e-06,0.05389040340630662,0.17784648277617612,0.9461083613123125,0.8221475776301385
0.145,1000000.0,165653.1400738483,0.0011173424422702934,0.00016013692338598363,1.257529768743324e-06,6.0312299997052956e-06,0.05426074991483206,0.17865687685206164,0.9457379925553993,0.8213370919179388
0.147,1000000.0,165636.36577257264,0.0011196743061778576,0.00016247362024407865,1.2803866773784072e-06,6.125088780135043e-06,0.054634036255052296,0.17947146297719407,0.9453646833582704,0.8205224119340261
0.149,1000000.0,165619.34797090822,0.0011220110030359526,0.00016481519700884708,1.3038720589311704e-06,6.221235687299419e-06,0.05501028259984183,0.18029025257500866,0.9449884135280993,0.8197035261893038
0.151,1000000.0,165602.08608455717,0.001124352579800721,0.0001671617010217814,1.3280065884247402e-06,6.319738545613175e-06,0.05538950917397877,0.18111325690400995,0.9446091628194327,0.8188804233574447
0.153,1000000.0,165584.57952296783,0.0011266990838136553,0.00016951318001153252,1.3528116916412562e-06,6.420667419292579e-06,0.05577173625251288,0.1819404870543815,0.9442269109357956,0.8180530922781992
0.155,1000000.0,165566.82768928257,0.0011290505628034065,0.00017186968209569628,1.3783095740404666e-06,6.524094691216462e-06,0.05615698415909586,0.1827719539445808,0.9438416375313301,0.8172215219607277
0.157,1000000.0,165548.82998028517,0.0011314070648875702,0.00017423125578258398,1.4045232508305847e-06,6.6300951446657844e-06,0.05654527326427434,0.18360766831791195,0.9434533222124748,0.8163857015869439
0.159,1000000.0,165530.585786348,0.001133768638574458,0.00017659794997297075,1.431476578237999e-06,6.738746048048598e-06,0.056936623983744515,0.18444764073908249,0.9430619445396774,0.8155456205148687
0.161,1000000.0,165512.09449137852,0.0011361353327648447,0.000178969813961824,1.459194286024344e-06,6.850127242720877e-06,0.0573310567765685,0.18529188159074264,0.9426674840291454,0.814701268282014
0.163,1000000.0,165493.35547276566,0.001138507196753698,0.0001813468974400115,1.4877020113013736e-06,6.964321234017886e-06,0.05772859214335216,0.1861404010700059,0.9422699201546364,0.8138526346087601
0.165,1000000.0,165474.36810132573,0.0011408842802318854,0.00018372925049598766,1.517026333696128e-06,7.081413285614984e-06,0.058129250624383684,0.18699320918495488,0.9418692323492827,0.8129997094017591
0.167,1000000.0,165455.1317412479,0.0011432666332878616,0.0001861169236174557,1.5471948119209911e-06,7.201491517341222e-06,0.0585330527977332,0.1878503157511319,0.9414654000074548,0.8121424827573511
0.169,1000000.0,165435.6457500394,0.0011456543064093296,0.00018850996769300863,1.5782360218054467e-06,7.324647006573385e-06,0.05894001927731273,0.1887117303880135,0.9410584024866655,0.8112809449649803
0.171,1000000.0,165415.90947847025,0.0011480473504848826,0.0001909084340137461,1.6101795958486212e-06,7.450973893343072e-06,0.05935017071089638,0.18957746251547133,0.9406482191095078,0.8104150865106354
0.173,1000000.0,165395.92227051765,0.00115044581680562,0.00019331237427486594,1.643056264354078e-06,7.580569489294156e-06,0.059763527778100484,0.1904475213502198,0.9402348291656352,0.8095448980802907
0.175,1000000.0,165375.68346331,0.0011528497570667399,0.00019572184057723254,1.676897898210801e-06,7.71353439063296e-06,0.06018011118832347,0.19132191590224915,0.9398182119137783,0.8086703705633599
0.177,1000000.0,165355.1923870705,0.0011552592233691065,0.0001981368854289176,1.711737553386872e-06,7.84997259521887e-06,0.06059994167864502,0.19220065497124902,0.9393983465838016,0.8077914950561559
0.179,1000000.0,165334.44836506038,0.0011576742682207915,0.00020055756174671574,1.7476095172050196e-06,7.989991623948293e-06,0.06102304001168471,0.1930837471430184,0.9389752123787981,0.806908262865358
0.181,1000000.0,165313.45071352177,0.0011600949445385897,0.00020298392285763363,1.7845493564719809e-06,8.133702646590539e-06,0.06144942697341936,0.19397120078586508,0.9385487884772242,0.8060206655114882
0.183,1000000.0,165292.19874162017,0.0011625213056495076,0.00020541602250034885,1.822593967536503e-06,8.281220612240226e-06,0.06187912337095924,0.19486302404699787,0.9381190540350732,0.8051286947323892
0.185,1000000.0,165270.6917513865,0.0011649534052922228,0.0002078539148266434,1.8617816283538166e-06,8.432664384556297e-06,0.06231215003028297,0.19575922484890618,0.9376859881880886,0.8042323424867092
0.187,1000000.0,165248.92903765882,0.0011673912976185173,0.00021029765440280736,1.9021520526375031e-06,8.588156881964418e-06,0.06274852779393053,0.19665981088573292,0.9372495700540169,0.8033316009573849
0.189,1000000.0,165226.90988802366,0.0011698350371946813,0.00021274729621101145,1.9437464461829255e-06,8.747825223005807e-06,0.06318827751865465,0.197564789619641,0.9368097787348991,0.8024264625551356
0.191,1000000.0,165204.63358275694,0.0011722846790028854,0.00021520289565065255,1.986607565449748e-06,8.911800877021935e-06,0.06363142007303006,0.19847416827716977,0.9363665933194044,0.8015169199219526
